SC,名称,市場,業種,時価総額(百万円),発行済株式数,配当利回り（予想）,1株配当（予想）,PER（予想）,PBR（実績）,EPS（予想）,BPS（実績）,最低購入額,単元株,高値日付,年初来高値,安値日付,年初来安値
1332,ニッスイ,東証PR,水産・農林,269409,312430277,3.25,28,11.17,1.02,77.21,842.12,86230,100,20250324,947,20250407,795
1333,マルハニチロ,東証PR,水産・農林,161903,50578837,3.44,110,7.33,0.72,436.79,4448.18,320100,100,20250423,3384,20250117,2874
1381,アクシーズ,東証ST,水産・農林,16594,5617500,3.33,98.5,13.82,0.79,213.69,3742.71,295400,100,20250404,3300,20250407,2550
1384,ホクリヨウ,東証ST,水産・農林,13086,8459000,4.52,70,6.63,0.97,233.36,1602.81,154700,100,20250418,1736,20250117,1190
1407,ウエストホールディングス,東証ST,建設,70882,46027488,4.22,65,7.62,1.96,201.97,787.43,154000,100,20250122,1983,20250407,1340
1417,ミライト・ワン,東証PR,建設,204158,91325329,3.35,75,11.3,0.81,197.91,2751.29,223550,100,20250217,2444,20250407,1860
1418,インターライフホールディングス,東証ST,建設,6243,17010529,5.45,20,9.49,1.35,38.66,271.55,36700,100,20250414,483,20250117,301
1419,タマホーム,東証PR,建設,114878,29455800,5.0,195,80.75,3.93,48.3,993.61,390000,100,20250430,4020,20250117,3050
1420,サンヨーホームズ,東証ST,建設,8506,12620000,3.71,25,9.41,0.52,71.62,1296.76,67400,100,20250310,742,20250407,600
1429,日本アクア,東証PR,建設,25966,34760000,4.69,35,11.53,2.26,64.78,330.5,74700,100,20250401,792,20250407,650
1430,ファーストコーポレーション,東証ST,建設,12642,13363540,4.44,42,6.89,1.22,137.27,777.35,94600,100,20250402,1052,20250117,826
1434,JESCOホールディングス,東証ST,建設,5897,6954000,3.54,30,5.34,0.86,158.94,984.77,84800,100,20250219,1025,20250407,721
1450,TANAKEN,東証ST,建設,11953,8699600,3.64,50,9.19,1.55,149.45,889.09,137400,100,20250501,1459,20250407,1125
146A,コロンビア・ワークス,東証ST,不動産,13712,3471400,3.49,138,4.99,1.13,792.19,3485.84,395000,100,20250217,4415,20250407,3235
1514,住石ホールディングス,東証ST,鉱業,47459,67222853,4.25,30,9.15,1.61,77.2,438.43,70600,100,20250204,862,20250407,541
1515,日鉄鉱業,東証PR,鉱業,104404,16704638,3.46,216,12.23,0.71,510.95,8841.08,625000,100,20250326,7430,20250114,4360
1518,三井松島ホールディングス,東証PR,その他製品,53237,13064400,3.19,130,5.99,0.74,679.94,5521.72,407500,100,20250120,4825,20250407,3275
156A,マテリアルグループ,東証GR,サービス,6736,9877197,3.81,26,10.37,3.24,65.75,210.26,68200,100,20250325,773,20250407,553
1605,INPEX,東証PR,鉱業,2296664,1259136067,4.93,90,6.62,0.45,275.55,4026.22,182400,100,20250328,2152,20250409,1651
165A,SBIレオスひふみ,東証GR,証券・先物,18718,103416800,3.76,6.8,13.36,2.51,13.55,72.05,18100,100,20250212,273,20250407,150
1662,石油資源開発,東証PR,鉱業,269079,257000380,5.25,55,3.33,0.54,314.12,1938.09,104700,100,20250321,1269,20250407,893
166A,タスキホールディングス,東証GR,不動産,35263,53836723,5.34,35,7.1,1.56,92.19,420.56,65500,100,20250106,852,20250407,543
167A,リョーサン菱洋ホールディングス,東証PR,卸売,129870,54000000,5.82,140,12.04,0.72,199.76,3322.81,240500,100,20250319,2641,20250407,2035
1717,明豊ファシリティワークス,東証ST,サービス,11383,12775900,4.66,41.5,11.9,1.94,74.9,458.41,89100,100,20250213,987,20250407,811
1718,美樹工業,東証ST,建設,6112,1153263,3.77,200,6.44,0.36,823.45,14835.85,530000,100,20250430,5550,20250407,4540
1719,安藤・間,東証PR,建設,256869,181021197,4.93,70,8.39,1.37,169.13,1038.59,141900,100,20250423,1436,20250117,1118
1720,東急建設,東証PR,建設,87331,106761205,4.65,38,13.1,0.89,62.46,921.52,81800,100,20250424,845,20250407,698
1721,コムシスホールディングス,東証PR,建設,427063,133000000,3.43,110,14.14,1.04,227.14,3079.76,321100,100,20250212,3395,20250407,2850
1723,日本電技,東証ST,建設,64432,16395000,3.1,122,10.16,1.68,386.87,2340.26,393000,100,20250401,4055,20250407,3065
