"SC","名称","市場","業種","時価総額(百万円)","発行済株式数","配当利回り（予想）","1株配当（予想）","PER（予想）","PBR（実績）","EPS（予想）","BPS（実績）","最低購入額","単元株","高値日付","年初来高値","安値日付","年初来安値"
"0001","日経平均株価（日経225）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","49823","12078283","2.67","110","7","0.76","589.35","5457.16","412500","100","20250321","4460","20250407","3615"
"130A","Veritas_In_Silico","東証GR","医薬品","4366","6487114","0","0","25.98","1.98","25.9","340.61","67300","100","20250106","957","20250407","591"
"1332","ニッスイ","東証PR","水産・農林","269409","312430277","3.25","28","11.17","1.02","77.21","842.12","86230","100","20250324","947","20250407","795"
"1333","マルハニチロ","東証PR","水産・農林","161903","50578837","3.44","110","7.33","0.72","436.79","4448.18","320100","100","20250423","3384","20250117","2874"
"135A","VRAIN_Solution","東証GR","情報通信","23091","10110000","0","0","39.14","16.24","58.36","140.66","228400","100","20250418","2800","20250407","1481"
"1375","ユキグニファクトリー","東証PR","水産・農林","45219","39910700","1.06","12","29.16","3.32","38.86","341.47","113300","100","20250217","1239","20250407","991"
"1376","カネコ種苗","東証ST","水産・農林","16776","11772626","2.32","33","13.34","0.66","106.84","2168.4","142500","100","20250124","1440","20250407","1310"
"1377","サカタのタネ","東証PR","水産・農林","152923","46410750","1.97","65","16.02","0.88","205.66","3761.02","329500","100","20250130","3705","20250407","3035"
"1379","ホクト","東証PR","水産・農林","60413","33359040","2.76","50","15.1","1.02","119.95","1773.49","181100","100","20250219","1950","20250407","1690"
"137A","Cocolive","東証GR","情報通信","3973","2965200","0","0","21.49","4.84","62.35","276.69","134000","100","20250417","1575","20250407","855"
"1380","秋川牧園","東証ST","水産・農林","4146","4179000","1.01","10","1377.78","1.95","0.72","508.5","99200","100","20250422","1250","20250408","931"
"1381","アクシーズ","東証ST","水産・農林","16594","5617500","3.33","98.5","13.82","0.79","213.69","3742.71","295400","100","20250404","3300","20250407","2550"
"1382","ホーブ","東証ST","水産・農林","1332","762000","2.86","50","30.97","1.77","56.45","990.19","174800","100","20250326","2100","20250407","1480"
"1383","ベルグアース","東証ST","水産・農林","4762","1613580","0.34","10","31.42","2.66","93.91","1111.23","295100","100","20250424","3930","20250502","2951"
"1384","ホクリヨウ","東証ST","水産・農林","13086","8459000","4.52","70","6.63","0.97","233.36","1602.81","154700","100","20250418","1736","20250117","1190"
"138A","光フードサービス","東証GR","小売","1771","992000","2.24","40","16.71","1.44","106.85","1242.94","178500","100","20250114","2500","20250407","1471"
"1401","エムビーエス","東証GR","建設","6371","7732000","1.58","13","13.35","1.64","61.7","502.35","82400","100","20250430","830","20250409","578"
"1407","ウエストホールディングス","東証ST","建設","70882","46027488","4.22","65","7.62","1.96","201.97","787.43","154000","100","20250122","1983","20250407","1340"
"1414","ショーボンドホールディングス","東証PR","建設","284620","54745180","2.74","142.5","18.35","2.58","283.26","2011.4","519900","100","20250106","5218","20250407","4439"
"1417","ミライト・ワン","東証PR","建設","204158","91325329","3.35","75","11.3","0.81","197.91","2751.29","223550","100","20250217","2444","20250407","1860"
"1418","インターライフホールディングス","東証ST","建設","6243","17010529","5.45","20","9.49","1.35","38.66","271.55","36700","100","20250414","483","20250117","301"
"1419","タマホーム","東証PR","建設","114878","29455800","5","195","80.75","3.93","48.3","993.61","390000","100","20250430","4020","20250117","3050"
"141A","トライアルホールディングス","東証GR","小売","274446","122356500","0.71","16","19.89","2.28","112.76","982.64","224300","100","20250312","2900","20250228","1794"
"1420","サンヨーホームズ","東証ST","建設","8506","12620000","3.71","25","9.41","0.52","71.62","1296.76","67400","100","20250310","742","20250407","600"
"1429","日本アクア","東証PR","建設","25966","34760000","4.69","35","11.53","2.26","64.78","330.5","74700","100","20250401","792","20250407","650"
"142A","ジンジブ","東証GR","サービス","1443","2902600","0","0","1420","2.51","0.35","197.75","49700","100","20250214","693","20250407","430"
"1430","ファーストコーポレーション","東証ST","建設","12642","13363540","4.44","42","6.89","1.22","137.27","777.35","94600","100","20250402","1052","20250117","826"
"1431","Lib_Work","東証GR","建設","16278","24151540","0.95","6.4","35.93","3.47","18.76","194.39","67400","100","20250314","705","20250407","562"
"1433","ベステラ","東証PR","建設","10892","10227199","2.82","30","10.49","1.95","101.57","546.88","106500","100","20250430","1115","20250407","882"
"1434","JESCOホールディングス","東証ST","建設","5897","6954000","3.54","30","5.34","0.86","158.94","984.77","84800","100","20250219","1025","20250407","721"
"1435","robot_home","東証ST","不動産","15492","91127000","1.18","2","13.89","1.64","12.24","103.57","17000","100","20250319","189","20250117","124"
"1436","グリーンエナジー＆カンパニー","東証GR","建設","9247","4284800","0.6","13","24.54","1.74","87.95","1240.65","215800","100","20250214","2648","20250407","2051"
"1438","岐阜造園","東証ST","建設","6064","3242600","1.93","36","18.04","1.56","103.63","1201.03","187000","100","20250110","2000","20250407","1705"
"143A","イシン","東証GR","サービス","1750","1916700","0","0","9.85","1.57","92.67","582.77","91300","100","20250424","1119","20250407","685"
"1443","技研ホールディングス","東証ST","建設","3004","16237977","0.54","1","6.67","0.27","27.72","674.61","18500","100","20250328","213","20250407","159"
"1444","ニッソウ","東証GR","建設","2722","1088700","0","0","11.77","1.64","212.43","1521.51","250000","100","20250129","2984","20250407","2035"
"1446","キャンディル","東証ST","建設","5850","10734200","1.47","8","29.59","1.8","18.42","302.59","54500","100","20250325","595","20250407","500"
"1447","SAAFホールディングス","東証GR","建設","6870","24446958","0","0","-","2.88","-16.36","97.66","28100","100","20250328","360","20250407","258"
"1450","TANAKEN","東証ST","建設","11953","8699600","3.64","50","9.19","1.55","149.45","889.09","137400","100","20250501","1459","20250407","1125"
"145A","L_is_B","東証GR","情報通信","3060","5124800","0","0","26.6","1.79","22.44","333.48","59700","100","20250212","757","20250409","500"
"146A","コロンビア・ワークス","東証ST","不動産","13712","3471400","3.49","138","4.99","1.13","792.19","3485.84","395000","100","20250217","4415","20250407","3235"
"147A","ソラコム","東証GR","情報通信","37748","45153515","0","0","121.16","3.92","6.9","213.52","83600","100","20250212","1384","20250407","686"
"148A","ハッチ・ワーク","東証GR","情報通信","2543","1912200","0","0","12.53","3.27","106.16","406.41","133000","100","20250212","2390","20250407","1011"
"1491","中外鉱業","東証ST","非鉄金属","19993","289747982","-","-","17","2.41","4.06","28.62","6900","100","20250304","88","20250106","31"
"149A","シンカ","東証GR","情報通信","3354","3184720","0","0","138.92","3.41","7.58","309.07","105300","100","20250402","1549","20250217","697"
"150A","JSH","東証GR","サービス","2840","5624100","0","0","15.58","1.43","32.42","353.3","50500","100","20250204","685","20250407","433"
"1514","住石ホールディングス","東証ST","鉱業","47459","67222853","4.25","30","9.15","1.61","77.2","438.43","70600","100","20250204","862","20250407","541"
"1515","日鉄鉱業","東証PR","鉱業","104404","16704638","3.46","216","12.23","0.71","510.95","8841.08","625000","100","20250326","7430","20250114","4360"
"1518","三井松島ホールディングス","東証PR","その他製品","53237","13064400","3.19","130","5.99","0.74","679.94","5521.72","407500","100","20250120","4825","20250407","3275"
"151A","ダイブ","東証GR","サービス","7211","8473875","0","0","13.69","3.15","62.16","270.2","85100","100","20250324","1050","20250407","657"
"153A","カウリス","東証GR","情報通信","7342","6390300","0","0","45.49","5.57","25.26","206.39","114900","100","20250212","1657","20250407","688"
