"SC","名称","市場","業種","日付","株価","前日比","前日比(％)","前日終値","始値","高値","安値","VWAP","出来高","出来高率(％)","売買代金(千円)","時価総額(百万円)","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率(％)","安値日付","年初来安値","年初来安値乖離率(％)"
"0001","日経平均株価（日経225）","東証","株価指数","20250502","36830.69","378.39","1.04","36452.3","36636.55","36976.51","36606.58","-","-","-","-","-","-","-","-","-","-","-","-","-"
"0002","TOPIX（東証株価指数）","東証","株価指数","20250502","2687.78","8.34","0.31","2679.44","2684.81","2704.46","2678.15","-","-","-","-","-","-","-","-","-","-","-","-","-"
"1301","極洋","東証PR","水産・農林","20250502","4125","5","0.12","4120","4120","4160","4085","4128.96","40700","0.34","168049","49823","3420","4820","20250321","4460","7.51","20250407","3615","14.11"
"130A","Veritas_In_Silico","東証GR","医薬品","20250502","673","3","0.45","670","670","688","670","681.15","14400","0.22","9809","4366","570","770","20250106","957","29.68","20250407","591","13.87"
"1332","ニッスイ","東証PR","水産・農林","20250502","862.3","-1.1","-0.13","863.4","863","865.6","856.5","861.71","858600","0.27","739866","269409","713.4","1013.5","20250324","947","8.94","20250407","795","8.47"
"1333","マルハニチロ","東証PR","水産・農林","20250502","3201","7","0.22","3194","3187","3204","3165","3190.32","168400","0.33","537250","161903","2494","3894","20250423","3384","5.41","20250117","2874","11.38"
"135A","VRAIN_Solution","東証GR","情報通信","20250502","2284","-41","-1.76","2325","2325","2396","2265","2314.12","75400","0.75","174485","23091","1825","2825","20250418","2800","18.43","20250407","1481","54.22"
"1375","ユキグニファクトリー","東証PR","水産・農林","20250502","1133","-7","-0.61","1140","1139","1142","1128","1133.98","43800","0.11","49668","45219","840","1440","20250217","1239","8.56","20250407","991","14.33"
"1376","カネコ種苗","東証ST","水産・農林","20250502","1425","0","0","1425","1436","1436","1419","1426.2","4000","0.03","5705","16776","1125","1725","20250124","1440","1.04","20250407","1310","8.78"
"1377","サカタのタネ","東証PR","水産・農林","20250502","3295","5","0.15","3290","3315","3315","3285","3299.97","80000","0.17","263998","152923","2590","3990","20250130","3705","11.07","20250407","3035","8.57"
"1379","ホクト","東証PR","水産・農林","20250502","1811","-3","-0.17","1814","1810","1832","1800","1811.29","60800","0.18","110127","60413","1414","2214","20250219","1950","7.13","20250407","1690","7.16"
"137A","Cocolive","東証GR","情報通信","20250502","1340","-28","-2.05","1368","1368","1368","1339","1354.95","4100","0.14","5555","3973","1068","1668","20250417","1575","14.92","20250407","855","56.73"
"1380","秋川牧園","東証ST","水産・農林","20250502","992","-10","-1","1002","1005","1005","992","996.7","3700","0.09","3688","4146","702","1302","20250422","1250","20.64","20250408","931","6.55"
"1381","アクシーズ","東証ST","水産・農林","20250502","2954","0","0","2954","2967","2967","2954","2957.87","1500","0.03","4437","16594","2454","3455","20250404","3300","10.48","20250407","2550","15.84"
"1382","ホーブ","東証ST","水産・農林","20250502","1748","32","1.86","1716","1725","1790","1697","1739.96","11400","1.5","19836","1332","1316","2116","20250326","2100","16.76","20250407","1480","18.11"
"1383","ベルグアース","東証ST","水産・農林","20250502","2951","-69","-2.28","3020","3025","3025","2951","2977.41","17500","1.08","52105","4762","2320","3720","20250424","3930","24.91","20250502","2951","0"
"1384","ホクリヨウ","東証ST","水産・農林","20250502","1547","-8","-0.51","1555","1535","1553","1519","1535.95","37200","0.44","57137","13086","1155","1955","20250418","1736","10.89","20250117","1190","30"
"138A","光フードサービス","東証GR","小売","20250502","1785","76","4.45","1709","1709","1798","1705","1748.08","9000","0.91","15733","1771","1309","2109","20250114","2500","28.6","20250407","1471","21.35"
"1401","エムビーエス","東証GR","建設","20250502","824","13","1.6","811","814","825","814","821.1","11800","0.15","9689","6371","661","961","20250430","830","0.72","20250409","578","42.56"
